storeId,storeNm,road_address,site_address,floor,category_bg,category_mi,category_sl,x,y,fam_미혼,fam_기혼,fam_유자녀,gender_f_20대,gender_f_30대,gender_f_40대,gender_f_50대,gender_f_60대,gender_m_20대,gender_m_30대,gender_m_40대,gender_m_50대,gender_m_60대,peco_개인,peco_법인,peco_외국인,times_아침,times_점심,times_오후,times_저녁,times_밤,times_심야,times_새벽,wdwe_평일,wdwe_공휴일,revfreq_평일,revfreq_공휴일,weekday_월,weekday_화,weekday_수,weekday_목,weekday_금,weekday_토,weekday_일,2018_store,2018_deli,2018_cnt,2019_store,2019_deli,2019_cnt,2020_store,2020_deli,2020_cnt,2021_store,2021_deli,2021_cnt,2022_store,2022_deli,2022_cnt,2023_store,2023_deli,2023_cnt,2024_store,2024_deli,2024_cnt,2025_store,2025_deli,2025_cnt
0128721677,아비꼬 성수역점,서울특별시 성동구 연무장5가길 25,서울 성동구 성수동2가 315-61번지 성수동2가성수역SKV1TOWER 1층 117호,,음식,일식,카레 전문점,127.0556139,37.5435513,2038,125,999,763,580,188,121,8,384,584,385,130,11,3163,662,237.0,0,2666,438,589,130,0,0,131,111,29.0,17.5,111,92,167,136,99,110,135,0,0,0,0,0,0,0,0,0,0,0,0,10435,3055,6999,43539,10336,26693,44234,9415,25166,35853,4432,18438
0108713140,미각,서울특별시 성동구 성수일로8길 39,서울 성동구 성수동2가 289-14번지 1층 103호,1층,음식,중식,마라/양꼬치/훠궈 전문점,127.0548026,37.5457827,801,7,589,330,136,4,0,0,18,275,120,434,77,1398,516,0,0,571,86,301,797,157,0,94,16,35.9,17.2,45,124,80,50,72,52,0,26591,0,9463,31941,0,12033,21801,0,10236,26396,0,9790,29874,0,9104,30875,0,9145,34666,0,8857,29234,0,7390
0138111406,주식회사 마루코리아 (MARU Korea Co Ltd.),서울특별시 성동구 성수일로 44-1,서울 성동구 성수2가3동 301-27번지 1층,,음식,한식,한식 요리-기타,127.0498224,37.5443369,121,0,95,70,38,16,12,0,13,15,16,24,8,217,67,84.0,0,80,170,32,0,0,0,5,13,50.0,5.9,4,17,6,9,3,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,667,0,547,4222,79,3667
0118496587,HD현대오일뱅크 직영 효진주유소,서울특별시 성동구 동일로 129,서울 성동구 성수2가3동 19-1번지 효진주유소,,서비스,주유소/충전소,주유소,127.0646451,37.544114,12591,3373,30826,856,2990,3191,2077,2100,2381,8708,7959,8427,8099,46792,24755,0,18953,16434,11819,5215,7505,6968,4650,2433,2134,44.5,23.5,2287,2030,2199,2342,2232,2226,2876,0,0,0,0,0,0,160431,0,35591,373808,0,80055,801005,0,145627,662545,0,137876,855100,0,148763,753847,0,120422
0136417508,주식회사 플라스틱프로덕트 서울지점,서울특별시 성동구 연무장길 89,서울 성동구 성수2가3동 271-2번지 4층,,소매,의복,일상복 판매,127.0593345,37.5414768,6686,0,2294,3215,118,334,236,0,3237,679,230,727,198,8980,119,1006.0,0,1934,2857,3599,707,0,0,161,476,18.0,13.1,169,156,262,342,268,336,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9248,0,345,58510,0,2328
0075633552,가츠로케,서울특별시 성동구 금호로 102,서울 성동구 금호동1가 633번지 벽산아파트 511호,,음식,주점,이자까야/꼬치구이,127.0262725,37.5516097,11,0,8,0,0,0,8,0,0,11,0,0,0,19,0,0,0,0,8,0,5,6,0,0,1,33.3,0.0,0,1,0,0,0,1,2,659,0,651,2460,0,2468,1628,0,1588,549,1766,1721,310,1708,1664,44,1211,936,102,583,484,13,204,201
0125042218,(주) 몰리노프로젝트,서울특별시 성동구 서울숲2길 19-18,서울 성동구 성수1가2동 685-325번지 1층,,음식,양식,스테이크 전문점,127.0411684,37.5474331,1711,333,553,447,966,0,57,56,242,454,296,77,0,2599,626,435.0,0,623,0,1399,1058,144,0,80,136,4.7,4.7,0,25,175,38,54,177,266,0,0,0,0,0,0,0,0,0,4366,0,407,46502,0,4356,46387,0,3981,55941,0,4888,44145,0,3424
0069262012,해양,서울특별시 성동구 금호로 17,서울 성동구 금호동4가 235번지 서울숲2차푸르지오아파트 상가 108호,,음식,뷔페,종합 뷔페,127.0239974,37.5460955,159,48,322,0,255,79,19,0,5,109,34,27,0,530,0,0,0,0,66,233,66,164,0,13,22,13.6,0.0,5,16,9,14,28,33,10,16443,0,2495,20066,0,2717,14097,0,2524,8880,6601,3191,18751,9096,4415,17365,10643,4471,0,9905,2360,0,7218,1717
0075649251,크린토피아 행당한신점,서울특별시 성동구 고산자로 164,서울 성동구 행당1동 128번지 행당한신아파트 상가동 지하층 B02호,B,서비스,세탁/빨래,세탁소,127.0361135,37.555218,157,9,886,2,75,95,323,194,21,83,86,102,66,1053,5,0,77,429,390,152,9,0,0,41,24,35.3,20.0,24,31,63,24,20,73,0,4307,0,3923,10994,0,8616,10306,0,7398,10574,0,7552,11567,0,7657,11719,0,7427,13653,0,6913,11320,0,5124
0121909600,주식회사 업사이클리스트,서울특별시 성동구 연무장길 89,서울 성동구 성수2가3동 271-2번지 지층,,소매,종합소매점,종합소매점-중고,127.0593345,37.5414768,652,102,252,451,256,0,59,0,108,62,69,0,0,1007,0,0,0,241,694,71,0,0,0,21,48,3.8,7.7,0,0,18,57,40,92,13,0,0,0,0,0,0,0,0,0,10155,0,1477,39224,0,4808,37130,0,4093,18494,0,2735,7823,0,1354
0139687099,빈티지산타 성수점,서울특별시 성동구 성수이로 89,서울 성동구 성수2가3동 315-4번지 지하1층,,소매,의복,일상복 판매,127.0563144,37.5430149,2638,0,1194,1441,126,239,185,17,981,164,520,90,66,3832,0,4214.0,0,799,1114,1106,725,86,0,92,166,4.5,5.6,102,107,147,133,80,179,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39156,0,5764
